Global Seamount Database from Kim, S.-S., and P. Wessel (2011), Geophys. J. Int., in revision.
This file contains 24,646 potential seamounts from the entire ocean basins.
The columns are:
Col 1: Longitude (-180/+180). Center of each seamount (in degrees)
Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
Col 3: Estimated azimuth of the basal ellipse (in degree)
Col 4: Estimated major axis of the basal ellipse of each seamount (in km)
Col 5: Estimated minor axis of the basal ellipse of each seamount (in km)
Col 6: Seamount height obtained from the prediced bathymetry TOPO V12 (in m)
Col 7: Maximum amplitude of the Free-Air Gravity Anomaly (in mGal)
Col 8: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
Col 9: Regional depth of each seamount (in m)
Col 10: Age of underlying seafloor from the AGE 3.2 grid (in Myr)
Col 11: ID for each seamount (plate_###)
For explanation of modeling and notations, please see our GJI paper

Longitude	Latitude	Azimuth	Major	Minor	Height	FAA	VGG	Depth	CrustAge	ID
-12.67348	-00.90755	148.8	26.2	13.1	744.7	41.1	58.0	-3839.5	4.2	KW-00174
-10.43029	-02.33611	62.4	18.9	15.9	682.4	41.9	55.0	-4050.1	12.1	KW-00175
-10.94876	-01.83325	32.8	8.3	7.6	580.8	36.3	61.8	-3808.8	10.3	KW-00176
-11.83586	-03.68880	145.9	12.4	9.9	557.6	43.8	49.3	-2895.2	0.3	KW-00177
-11.15991	-03.81676	0.8	16.7	14.6	601.1	32.2	57.1	-3621.7	5.3	KW-00178
-12.18141	-04.19710	29.2	14.7	11.4	617.6	40.8	61.9	-3067.1	0.8	KW-00179
-09.59105	00.29996	79.6	14.7	11.6	373.2	34.3	66.3	-4595.9	34.7	KW-00180
-11.62346	-04.01956	115.4	24.7	12.3	762.0	44.4	49.2	-3412.3	2.6	KW-00181
-11.06979	-00.23754	82.7	16.7	15.5	450.0	17.9	51.3	-4457.2	25.2	KW-00182
-10.85104	-03.85146	37.0	15.8	11.6	288.5	32.7	46.7	-3606.2	8.1	KW-00183
-12.05009	-04.06163	105.1	12.5	10.1	360.4	39.5	55.3	-3111.2	0.7	KW-00184
-12.83911	-00.61750	80.1	11.5	8.8	410.0	22.8	55.0	-3920.5	16.0	KW-00185
-08.94429	00.38492	10.4	21.4	19.6	485.7	28.0	55.5	-4880.2	38.1	KW-00186
-11.72034	-01.99390	-15.0	14.7	13.0	380.8	28.5	33.8	-3622.6	3.7	KW-00187
-12.07262	-00.05787	7.8	14.3	13.1	488.6	15.0	40.8	-4367.2	22.6	KW-00188
-11.78730	-00.37698	104.0	23.4	15.5	594.2	16.2	35.0	-4557.2	21.7	KW-00189
-10.78822	-03.92971	67.6	12.8	6.6	110.7	32.8	32.8	-3416.4	8.4	KW-00190
-08.84719	00.41901	73.3	10.7	8.8	178.7	21.7	43.7	-4719.3	38.8	KW-00191
-08.74711	00.29271	74.9	11.7	10.1	332.1	9.5	39.5	-4829.9	37.8	KW-00192
-11.19518	-00.26672	62.5	18.6	12.3	257.0	10.8	33.5	-4454.6	24.5	KW-00193
-15.77310	-01.36204	2.1	21.0	15.0	1657.7	81.0	116.9	-3718.7	2.3	KW-00194
-15.06157	-01.14331	-67.6	12.0	7.2	399.4	49.7	79.5	-3829.9	2.8	KW-00195
